2026-04-18 15:21:22 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=65527)
2026-04-18 15:21:24 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=58277)
2026-04-18 15:21:24 | INFO     | backend.main | main.py:95 | 客户端断开连接
2026-04-18 15:21:24 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=51451)
2026-04-18 15:21:25 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=52989)
2026-04-18 15:21:27 | INFO     | backend.agents.coordinator | coordinator.py:68 | 初始化 LangGraph Multi-Agent...
2026-04-18 15:21:27 | INFO     | backend.agents.coordinator | coordinator.py:78 | 所有 Agent 初始化完成
2026-04-18 15:21:27 | INFO     | backend.agents.coordinator | coordinator.py:358 | [LangGraph] 开始处理请求: 出发，预算3000，想去苏州玩3天，亲子出行，住地铁附近，不吃辣...
2026-04-18 15:21:27 | INFO     | backend.agents.coordinator | coordinator.py:82 | [LangGraph] Node: search_node
2026-04-18 15:21:27 | INFO     | backend.agents.search_agent | search_agent.py:65 | SearchAgent 处理查询: 出发，预算3000，想去苏州玩3天，亲子出行，住地铁附近，不吃辣...
2026-04-18 15:21:27 | INFO     | backend.main | main.py:85 | WebSocket 连接建立：Address(host='127.0.0.1', port=51570)
2026-04-18 15:21:48 | INFO     | backend.agents.search_agent | search_agent.py:124 | 外部搜索完成，找到 2 条结果
2026-04-18 15:21:48 | INFO     | backend.rag.vector_store | vector_store.py:174 | 当前向量后端: chroma
2026-04-18 15:21:48 | INFO     | backend.rag.document_processor | document_processor.py:107 | 原始文档已保存: 337defc1fc71dbcb
2026-04-18 15:21:48 | INFO     | backend.rag.document_processor | document_processor.py:182 | 文档 337defc1fc71dbcb 分为 1 个块
2026-04-18 15:21:48 | INFO     | backend.rag.document_processor | document_processor.py:227 | 文档处理完成: 337defc1fc71dbcb, 1 个块
2026-04-18 15:21:49 | INFO     | backend.rag.vector_store | vector_store.py:62 | 成功添加 1 个文档到 ChromaDB
2026-04-18 15:21:49 | INFO     | backend.rag.document_processor | document_processor.py:107 | 原始文档已保存: d093673496f0a965
2026-04-18 15:21:49 | INFO     | backend.rag.document_processor | document_processor.py:182 | 文档 d093673496f0a965 分为 1 个块
2026-04-18 15:21:49 | INFO     | backend.rag.document_processor | document_processor.py:227 | 文档处理完成: d093673496f0a965, 1 个块
2026-04-18 15:21:49 | INFO     | backend.rag.vector_store | vector_store.py:62 | 成功添加 1 个文档到 ChromaDB
2026-04-18 15:21:49 | INFO     | backend.agents.search_agent | search_agent.py:77 | 已将 2 条结果添加到知识库
2026-04-18 15:21:50 | INFO     | backend.rag.embedding_service | embedding_service.py:56 | Embedding 成功，维度: 1024
2026-04-18 15:21:50 | INFO     | backend.rag.keyword_retriever | keyword_retriever.py:163 | 关键词索引构建完成: files=6, chunks=6, avg_len=128.00
