2026-03-18 19:37:33 | INFO     | backend.main | main.py:29 | 应用启动，开始初始化 Agent...
2026-03-18 19:37:35 | INFO     | agent_manager | agent_manager.py:73 | 初始化 Agent 实例...
2026-03-18 19:37:40 | INFO     | agent_manager | agent_manager.py:79 | 初始化工具完成：20 个工具
2026-03-18 19:37:41 | INFO     | agent_manager | agent_manager.py:96 | Agent 实例创建完成
2026-03-18 19:37:41 | INFO     | agent_manager | agent_manager.py:55 | Agent 启动初始化成功
2026-03-18 19:37:41 | INFO     | backend.main | main.py:33 | Agent 初始化成功，服务就绪
2026-03-18 19:37:52 | INFO     | backend.main | main.py:125 | WebSocket 连接建立：Address(host='127.0.0.1', port=55849)
2026-03-18 19:37:52 | INFO     | backend.main | main.py:140 | 客户端断开连接
2026-03-18 19:37:52 | INFO     | backend.main | main.py:125 | WebSocket 连接建立：Address(host='127.0.0.1', port=63762)
2026-03-18 19:37:55 | INFO     | backend.main | main.py:125 | WebSocket 连接建立：Address(host='127.0.0.1', port=58031)
2026-03-18 19:39:57 | INFO     | backend.main | main.py:140 | 客户端断开连接
2026-03-18 19:39:57 | INFO     | backend.main | main.py:140 | 客户端断开连接
2026-03-18 19:39:57 | INFO     | backend.main | main.py:40 | 应用关闭，清理资源...
2026-03-18 19:39:59 | INFO     | backend.main | main.py:29 | 应用启动，开始初始化 Agent...
2026-03-18 19:40:01 | INFO     | agent_manager | agent_manager.py:73 | 初始化 Agent 实例...
2026-03-18 19:40:04 | INFO     | agent_manager | agent_manager.py:79 | 初始化工具完成：20 个工具
2026-03-18 19:40:05 | INFO     | agent_manager | agent_manager.py:96 | Agent 实例创建完成
2026-03-18 19:40:05 | INFO     | agent_manager | agent_manager.py:55 | Agent 启动初始化成功
2026-03-18 19:40:05 | INFO     | backend.main | main.py:33 | Agent 初始化成功，服务就绪
2026-03-18 19:40:10 | INFO     | backend.main | main.py:125 | WebSocket 连接建立：Address(host='127.0.0.1', port=61271)
2026-03-18 19:40:10 | INFO     | backend.main | main.py:125 | WebSocket 连接建立：Address(host='127.0.0.1', port=58085)
2026-03-18 19:40:11 | INFO     | backend.main | main.py:140 | 客户端断开连接
2026-03-18 19:40:11 | INFO     | backend.main | main.py:140 | 客户端断开连接
2026-03-18 19:40:12 | INFO     | backend.main | main.py:125 | WebSocket 连接建立：Address(host='127.0.0.1', port=63846)
2026-03-18 19:40:12 | INFO     | backend.main | main.py:140 | 客户端断开连接
2026-03-18 19:40:12 | INFO     | backend.main | main.py:125 | WebSocket 连接建立：Address(host='127.0.0.1', port=53909)
2026-03-18 19:40:15 | INFO     | backend.main | main.py:125 | WebSocket 连接建立：Address(host='127.0.0.1', port=54808)
2026-03-18 19:48:57 | INFO     | backend.main | main.py:140 | 客户端断开连接
2026-03-18 19:48:57 | INFO     | backend.main | main.py:140 | 客户端断开连接
2026-03-18 19:48:57 | INFO     | backend.main | main.py:40 | 应用关闭，清理资源...
2026-03-18 19:49:00 | INFO     | backend.main | main.py:29 | 应用启动，开始初始化 Agent...
2026-03-18 19:49:00 | INFO     | agent_manager | agent_manager.py:71 | 初始化 LangGraph Multi-Agent...
2026-03-18 19:49:04 | INFO     | agent_manager | agent_manager.py:77 | 初始化工具完成：20 个工具
2026-03-18 19:49:04 | INFO     | backend.agents.coordinator | coordinator.py:68 | 初始化 LangGraph Multi-Agent...
2026-03-18 19:49:07 | INFO     | backend.agents.visualization_agent | visualization_agent.py:65 | 豆包图像生成器初始化成功，模型: doubao-seedream-5-0-260128
2026-03-18 19:49:07 | INFO     | backend.agents.coordinator | coordinator.py:78 | 所有 Agent 初始化完成
2026-03-18 19:49:07 | INFO     | agent_manager | agent_manager.py:94 | MultiAgentGraph 实例创建完成
2026-03-18 19:49:07 | INFO     | agent_manager | agent_manager.py:55 | Agent 启动初始化成功
2026-03-18 19:49:07 | INFO     | backend.main | main.py:33 | Agent 初始化成功，服务就绪
2026-03-18 19:49:09 | INFO     | backend.main | main.py:125 | WebSocket 连接建立：Address(host='127.0.0.1', port=64784)
2026-03-18 19:49:09 | INFO     | backend.main | main.py:125 | WebSocket 连接建立：Address(host='127.0.0.1', port=60353)
2026-03-18 19:49:10 | INFO     | backend.main | main.py:140 | 客户端断开连接
2026-03-18 19:49:10 | INFO     | backend.main | main.py:140 | 客户端断开连接
